Country,Year,Number below $1 a day,Number below $2.15 a day,Number below $3.65 a day,Number below $6.85 a day,Number below $10 a day,Number below $20 a day,Number below $30 a day,Number below $40 a day
Argentina (urban),2010,73118,276637,1167230,4206627,7798266,18381764,25766644,29969682
Argentina (urban),2011,81808,267078,791507,3421604,6874064,17444164,24948378,29499848
Argentina (urban),2012,93081,246057,887831,3260404,6559712,17398480,24926960,29906760
Argentina (urban),2013,90847,256735,798111,3294950,6548530,17345660,25131908,30286004
Argentina (urban),2014,87743,235804,832001,3692881,7849020,19383132,26967688,31577906
Argentina (urban),2016,94823,278340,921123,3680302,7657931,19133724,27271560,31996988
Argentina (urban),2017,71051,243998,954810,3333118,6702632,18107902,26468524,31640886
Argentina (urban),2018,105862,426890,1173109,4231868,8239417,20500712,28797298,33644540
Argentina (urban),2019,114374,458763,1396487,4963972,9451109,21756376,29719982,34308016
Argentina (urban),2020,106102,490331,1668999,6427108,11801935,24598490,32273676,36297648
Argentina (urban),2021,126725,377798,1184829,4830120,9798731,23433042,31659300,36030512
Argentina (urban),2022,79955,261255,1086495,4657188,10170663,24656952,32844010,36979032
Armenia,1999,20726,381499,1435187,2638876,2984894,3155796,3187939,3199707
Armenia,2001,16312,437848,1479799,2625542,2911646,3095951,3121897,3128733
Armenia,2002,13934,309467,1356469,2573921,2872370,3057888,3088996,3099204
Armenia,2003,2245,232526,1223089,2546726,2886856,3038238,3068226,3073678
Armenia,2004,10862,163030,886773,2252959,2695163,2978100,3023374,3046818
Armenia,2005,3888,80129,590247,2055792,2607664,2946876,2999427,3021908
Armenia,2006,692,60487,468044,1900818,2600936,2969479,3008120,3020502
Armenia,2007,1845,46154,411468,1681654,2390870,2920853,2983114,2997276
Armenia,2008,788,26245,275172,1555846,2350439,2915402,2969685,2977774
Armenia,2009,80,36984,408947,1800737,2511584,2927236,2953251,2960626
Armenia,2010,1348,28033,413192,1829859,2485930,2898018,2929356,2936680
Armenia,2011,215,34710,384575,1735545,2417848,2880746,2910102,2920252
Armenia,2012,382,24254,326531,1610159,2405194,2852116,2888202,2901477
Armenia,2013,1302,50434,328669,1540241,2295973,2834283,2882520,2893293
Armenia,2014,853,41590,328232,1475346,2272934,2808082,2852023,2871752
Armenia,2015,2032,32999,271536,1343655,2165696,2769948,2826070,2851416
Armenia,2016,979,31752,272891,1215747,1950707,2758200,2841641,2855326
Armenia,2017,126,22406,230416,1387555,2149117,2728597,2809227,2826120
Armenia,2018,488,38005,267130,1385919,2167598,2712037,2774708,2800066
Armenia,2019,0,29054,275870,1469593,2271866,2743173,2798276,2811099
Armenia,2020,0,9876,188655,1493597,2316224,2771828,2794563,2801379
Armenia,2021,0,14611,242047,1444070,2267566,2733690,2772269,2782541
Armenia,2022,0,21718,279420,1425231,2235223,2722257,2767168,2775682
Australia,1981,74012,148263,185979,260810,484814,2573919,6714476,9512911
Australia,1985,105509,158090,211090,320734,526723,2685215,6999670,10000771
Australia,1989,83774,125145,167325,335065,626016,2899550,7146026,10214622
Australia,1995,89435,134997,219948,315044,583043,3595852,8552228,11964040
Australia,2001,144061,144061,191218,284654,479028,2792741,7660265,11073142
Australia,2003,145915,196681,244788,344636,489439,2612250,7387676,11041607
Australia,2004,99519,142028,142028,248733,347166,1942013,6178788,10065842
Australia,2008,76759,76759,142253,142253,213881,1280532,4180377,8005896
Australia,2010,76928,76928,149298,222105,296686,1398828,4188604,8226530
Australia,2014,57264,117022,174756,234049,293028,1114331,3462187,7042487
Australia,2016,59207,120650,120650,239273,302247,1269236,3746638,7559598
Australia,2018,124091,124091,184287,245706,372564,1369557,3805912,7612284
Austria,1994,0,18326,18326,79322,137716,533141,1683352,3211846
Austria,1995,0,0,18692,79057,117980,534967,1686838,3354861
Austria,1996,0,0,18837,39216,78151,536614,1909904,3481768
Austria,1997,0,19600,19600,57994,114879,557069,1812216,3504572
Austria,1998,0,19100,39198,79487,134680,516113,1831040,3383154
Austria,1999,0,18063,18063,39746,58108,379404,1577644,3173986
Austria,2000,0,0,19599,51695,97120,419759,1531740,3244322
Austria,2003,23508,26980,32634,52947,79193,419781,1413529,2849733
Austria,2004,5847,6673,11655,34627,65602,304064,1239750,2662854
Austria,2005,8797,12645,16095,37085,76508,338395,1325269,2931552
Austria,2006,4734,7451,19052,39372,61726,356944,1288681,2811124
Austria,2007,21777,30883,49670,64315,97534,421580,1342979,2617587
Austria,2008,16975,39208,48432,82000,117757,405078,1228777,2482356
Austria,2009,41049,54752,61120,84057,126464,417312,1209801,2407606
Austria,2010,30728,41039,48107,68080,96035,338286,1109167,2298384
Austria,2011,27460,34859,48254,86651,132833,392972,1216552,2465990
Austria,2012,41255,52006,60406,90172,147866,448244,1266390,2481203
Austria,2013,22843,28662,31936,56573,92599,347282,1048764,2376562
Austria,2014,11412,19166,28706,62525,94127,366357,1167086,2430446
Austria,2015,48487,58528,63217,87529,156731,359940,1246596,2441770
Austria,2016,48577,58017,78001,115922,154577,408451,1086817,2250529
Austria,2017,20406,27984,35040,60077,94686,385927,1108424,2332543
Austria,2018,42521,50246,62192,101820,118199,419639,1113202,2393071
Austria,2019,48019,56888,63274,75454,106329,396900,1015733,2109287
Austria,2020,56885,60954,79140,93325,133839,386780,1024902,2046326
Austria,2021,34207,43509,47417,101140,149440,441822,1101691,2143736
Azerbaijan,1995,144309,954504,2975078,5974263,7017562,7609125,7664922,7679727
Azerbaijan,2001,14826,499460,2298258,5758680,6997218,7883272,8032703,8080948
Azerbaijan,2002,0,6497,209479,3959595,6589416,7961380,8109820,8144007
Azerbaijan,2003,0,4165,269648,3670664,6365346,7991290,8161452,8194324
Azerbaijan,2004,0,0,85745,3515508,6436027,8039206,8202612,8254880
Azerbaijan,2005,0,0,26423,2630543,5858882,7989824,8275022,8338145
Bangladesh,1983,2036837,34409348,76351400,90238248,91792416,92289856,92289856,92289856
Bangladesh,1985,0,31036146,75708272,93744552,95963632,97023168,97115424,97115424
Bangladesh,1988,621710,43319356,85399440,100629776,102648512,103659440,103791256,103791256
Bangladesh,1991,2573882,46247348,91607080,107368096,109447568,110190696,110239824,110252832
Bangladesh,1995,1546399,40010284,88276272,111407120,115796216,118296176,118670144,118777744
Bangladesh,2000,1336589,43048940,92839224,120097984,125647976,128733400,129102824,129150888
Bangladesh,2005,494868,33771944,91775336,128058416,135827440,140177200,140781520,140831392
Bangladesh,2010,309979,27042588,88017640,132597504,142732480,147572112,148137664,148250816
Bangladesh,2016,291809,21520270,82493296,138857536,152079552,158709552,159385712,159595216
Bangladesh,2022,143887,8573862,51413716,126841688,152893520,167719968,170147328,170895760
Belarus,1998,193271,2191998,5710723,9073838,9773615,10045890,10063663,10065473
Belarus,1999,221376,1924362,5120201,8822005,9712874,10000596,10026738,10026738
Belarus,2000,123723,1361461,4318507,8422534,9547795,9938081,9972252,9979610
Belarus,2001,46244,657689,2790636,7313440,9027100,9845585,9901040,9912697
Belarus,2002,26013,433526,2200613,6677546,8691814,9757897,9836901,9848930
Belarus,2003,27275,343901,1838234,6348554,8444205,9710005,9782794,9791651
Belarus,2004,5843,126573,1032897,5284288,7950293,9622788,9714181,9728236
Belarus,2005,0,86095,578250,3475660,6555951,9340916,9609716,9654916
Belarus,2006,4325,38283,340251,2676392,5421049,9013026,9506884,9578933
Belarus,2007,0,20899,256467,1978765,4487922,8562253,9316656,9482022
Belarus,2008,0,15866,159559,1566307,4084757,8555556,9302583,9462654
Belarus,2009,869,13133,169958,1481486,3875112,8461762,9280280,9421634
Belarus,2010,0,3219,80975,1123621,3138298,7929893,9024600,9339573
Belarus,2011,0,622,55732,942672,2782654,7812644,9061780,9335376
Belarus,2012,0,1139,13951,553880,1980871,7250777,8889857,9269185
Belarus,2013,0,0,5872,321496,1352763,6510746,8636055,9157673
Belarus,2014,0,0,5047,302677,1295178,6202210,8487015,9078954
Belarus,2015,0,0,13094,388251,1626314,6979132,8840592,9236314
Belarus,2016,0,0,5665,434719,1781045,7321052,8913444,9290111
Belarus,2017,0,0,10553,309315,1765914,7135582,8883331,9284307
Belarus,2018,0,0,6518,183446,1181184,6567626,8666418,9184148
Belarus,2019,0,0,1718,229922,940212,6142088,8448552,9065219
Belarus,2020,0,0,6179,120626,848369,5986261,8462588,9066519
Belgium,1985,23678,23678,48971,73726,122697,1625203,4608688,7147126
Belgium,1988,47311,47311,72806,72806,123419,1358564,4206966,6855896
Belgium,1992,69882,98772,98772,119910,149342,1003036,3489837,6123760
Belgium,1995,41805,41805,73918,117088,144668,808038,2530612,4836868
Belgium,1997,24423,50141,50141,99952,146779,762520,2494388,4937001
Belgium,2000,31318,31318,67785,100251,118698,510017,1938064,4150538
Belgium,2003,15029,30549,46796,91061,146857,768511,2240138,4379800
Belgium,2004,1725,5421,13338,43874,53457,668422,2064479,4104636
Belgium,2005,14891,20231,34362,52318,88259,602499,1880233,4029122
Belgium,2006,13517,17820,22193,44755,76749,615436,1969962,4015733
Belgium,2007,7239,16093,20890,41824,81515,594914,1906373,3914999
Belgium,2008,8915,12682,15073,30376,56344,564959,1823733,3754237
Belgium,2009,6027,11615,17151,37201,112963,660163,1770063,3596808
Belgium,2010,10526,14940,21678,51105,89540,647729,1801972,3661780
Belgium,2011,7982,18574,31994,65780,112753,682862,2018382,3920182
Belgium,2012,15576,17390,25691,50282,79132,606849,1793703,3553730
Belgium,2013,14656,16126,24751,55924,85348,619927,1844057,3696895
Belgium,2014,7763,8574,14175,30515,61709,586300,1918062,3677152
Belgium,2015,7977,7977,22003,24516,42231,559649,1856410,3524310
Belgium,2016,6464,6778,10217,34498,70262,563281,1851008,3553200
Belgium,2017,16820,16820,25722,40514,67404,611501,1744167,3482093
Belgium,2018,7365,9269,10256,22843,42605,479594,1663859,3204292
Belgium,2019,6012,9025,14841,25096,40510,380887,1418158,3007080
Belgium,2020,1123,6315,13500,32850,50239,361288,1323860,2935772
Belgium,2021,2626,3472,14844,27251,38347,340057,1208058,2689898
Belize,1993,10035,26306,61668,119909,149509,177580,186820,190789
Belize,1994,9163,29353,65629,129756,156827,182628,191198,193631
Belize,1996,11643,38183,87034,147920,169314,196591,203117,205896
Belize,1997,17100,45381,93622,152264,176092,203046,211788,214231
Belize,1998,14464,46630,96183,154291,183055,210858,217805,220783
Belize,1999,16571,45515,91013,155358,187739,217537,224404,227529
Benin,2003,772207,4066232,6186826,7283976,7508550,7625692,7647408,7655977
Benin,2011,1190933,5329210,7623138,9033125,9485414,9769078,9807530,9819222
Benin,2015,2112958,5543934,8536248,10038841,10448686,10839600,10912852,10922078
Benin,2018,139814,2433070,6444108,10129348,11283261,11965223,12072471,12095819
Benin,2021,103733,1687600,5762728,10792286,12304049,13136296,13211741,13245303
Bhutan,2003,839,84800,263944,465030,551557,616226,627306,630836
Bhutan,2007,1105,39898,181549,424643,550576,654769,673606,679339
Bhutan,2012,141,12478,86018,323579,485884,663910,698712,710221
Bhutan,2017,208,7151,71228,298956,455916,672077,732897,749750
Bhutan,2022,0,12,3681,66095,205837,611072,735218,767091
Bolivia,1997,654579,1264495,2121562,3748899,5040208,6772520,7392176,7670620
Bolivia,1999,1106577,1846051,2698384,4222804,5321274,7084843,7716388,8004643
Bolivia,2000,1389259,2083498,3043110,4796638,5944230,7526895,7972238,8187632
Bolivia,2001,868401,1664471,2605788,4528774,5872342,7591315,8126662,8366909
Bolivia,2002,985620,1752207,2815480,4789336,6082065,7807224,8271980,8493928
Bolivia,2004,326167,941606,1944608,4222148,5793608,7830536,8427941,8703189
Bolivia,2005,720266,1463492,2412771,4427322,5718858,7658404,8420807,8733047
Bolivia,2006,568922,1192328,2121828,4015233,5429429,7620258,8507500,8869410
Bolivia,2007,418956,919333,1803549,3997233,5416056,7771638,8609802,9090211
Bolivia,2008,346284,824493,1493878,3351428,4905612,7677218,8750507,9237071
Bolivia,2009,315733,882672,1412250,2904792,4456656,7676324,8843502,9364549
Bolivia,2011,196853,550887,1076906,2439805,3882108,7305048,8821829,9502345
Bolivia,2012,291914,683642,1160119,2502061,3904160,7262412,8872965,9597851
Bolivia,2013,222092,555761,999946,2337664,3651808,7106224,8742262,9570391
Bolivia,2014,157455,466799,981268,2203940,3708889,7304599,8990783,9765553
Bolivia,2015,215531,513467,951438,2271082,3852547,7462546,9222675,10014133
Bolivia,2016,258858,633020,1133862,2474144,3949621,7575244,9379246,10248297
Bolivia,2017,174089,564156,1049243,2403546,3900492,7629320,9499350,10348858
Bolivia,2018,130981,380113,894089,2216860,3798852,7811332,9694359,10633808
Bolivia,2019,36909,226187,670155,1830415,3532177,7797962,9778792,10710479
Bolivia,2020,25655,372588,765531,2063750,3830118,8004140,9953916,10807983
Bolivia,2021,31192,237301,652741,1834098,3562710,8035598,10064873,10967341
Bolivia (urban),1990,0,43633,608006,1696256,2476180,3530690,3813761,3918359
Bolivia (urban),1992,85614,371741,1118896,2476259,3140595,3879932,4085480,4146110
Bosnia and Herzegovina,2001,2441,13665,46590,580251,1620504,3691249,4057990,4146194
Bosnia and Herzegovina,2004,1530,7505,29862,272501,777527,2587807,3464050,3806638
Bosnia and Herzegovina,2007,339,2664,17442,192364,612363,2230500,3146845,3604990
Bosnia and Herzegovina,2011,0,2807,31805,216326,618036,2196660,3055845,3425341
Botswana,1985,173634,485572,735806,971156,1056782,1131127,1147579,1153678
Botswana,1993,146673,503277,819264,1155884,1290750,1414104,1443474,1455223
Botswana,2002,133573,527991,898088,1243080,1397298,1610486,1693417,1736728
Botswana,2009,62059,364287,755366,1243378,1508762,1820119,1924669,1974450
Botswana,2015,36891,361796,891323,1489631,1769557,2131057,2252950,2295116
Brazil,1981,9125308,29975124,53665768,83843696,97727168,114066424,119115544,121428704
Brazil,1982,9249777,31279672,55047972,85056752,99200936,116154976,121630440,124113776
Brazil,1983,12707478,40054072,66690840,94437296,107027720,121447296,126016360,128099208
Brazil,1984,12009283,40053452,67143568,96707032,109971712,124250664,128753928,130867752
Brazil,1985,10407031,35222284,61827024,92951704,108281184,125864400,131369520,133896520
Brazil,1986,4341374,17128184,36467640,69086768,88816536,116468432,125994888,130771672
Brazil,1987,8681436,28416396,51961984,84299712,102178640,125001648,132615288,136132608
Brazil,1988,10983216,32563110,57101384,89120320,106469104,127804056,135033472,138561728
Brazil,1989,10020664,30198166,53891340,86343664,103821592,126787144,135169776,139566512
Brazil,1990,11532937,36158712,62684120,96042688,113510216,134461648,141552768,145015680
Brazil,1992,13073769,36311204,63495060,101955696,121777712,144219856,150773392,153308880
Brazil,1993,12266086,35016836,62828908,101935248,120316088,142185904,149269264,152557648
Brazil,1995,7164991,24095676,48507556,86072176,108439288,138255904,148426368,153624768
Brazil,1996,8636054,26573710,49754332,87362088,109012640,139553600,150708496,155954000
Brazil,1997,8682716,26927420,50858580,89335544,111570112,142463584,153276448,158613712
Brazil,1998,7234062,24523454,49383924,88879864,111664632,143940560,154989520,160557392
Brazil,1999,7669240,25968708,51816404,93353808,117409640,148214256,158614752,163699120
Brazil,2001,7186253,23242706,46713544,85579056,111219568,147512640,160332944,166369968
Brazil,2002,5864939,21185508,45713024,85401392,111803184,148826480,162216080,168109552
Brazil,2003,6766596,23022010,47630524,88864112,115100000,152537760,165336384,171210240
Brazil,2004,5543390,20422522,45089764,87443232,115011008,154027760,167343200,173483536
Brazil,2005,4837311,18610434,41745348,84092368,112085736,154285232,168411680,174553680
Brazil,2006,4289270,15604586,36642364,78133136,107475608,152527408,168361344,175328832
Brazil,2007,4940508,15015059,34353012,74438784,103218000,152341200,169271872,176546688
Brazil,2008,3657836,12538463,30236088,69020072,99223080,151148480,169440880,177307984
Brazil,2009,3584554,11905237,28383980,65774824,96473744,150589792,169976048,178425216
Brazil,2011,3457528,10548393,23846828,59273564,90050600,148487776,170745072,180443568
Brazil,2012,2100005,8986021,21262466,56402496,86108360,145761248,169493184,180525200
Brazil,2013,1483022,7521300,19130908,51895708,81952712,143490208,168861728,180326672
Brazil,2014,1261377,6766963,17527962,49537420,79010944,141876528,168981904,181095296
Brazil,2015,1514862,7956117,19048030,51865168,81662352,145455328,171804336,183518768
Brazil,2016,2415232,9792223,21971482,55941116,86024456,148428208,173161456,184990016
Brazil,2017,2783637,11056501,22956574,56512672,86270200,148947280,174696336,186752912
Brazil,2018,2823655,11151597,22873850,56130024,85168544,147932688,174405600,186972352
Brazil,2019,3042688,11455808,22785534,55585456,84243296,147880544,175184640,188676864
Brazil,2020,893755,4159606,11352966,39935640,73322176,149676880,178602992,191258912
Brazil,2021,2909518,12504996,24142708,60831840,93669568,156411856,182402848,193519456
Brazil,2022,1656544,7547388,18118660,50509056,82452608,149542784,177239792,191049152
Bulgaria,1992,0,0,0,268588,1134390,4875922,7129158,7905118
Bulgaria,2006,163372,443192,872379,2166871,4117932,6893916,7391960,7498296
Bulgaria,2007,45130,135227,368767,1133884,2503146,5870138,6900213,7211508
Bulgaria,2008,20598,93746,263325,843540,1854390,5400508,6673015,7138708
Bulgaria,2009,7181,97206,226677,819322,1761407,5080064,6569975,7088372
Bulgaria,2010,29195,148484,336804,992237,2002875,5242086,6589236,7072150
Bulgaria,2011,53767,180678,375624,1032563,2094319,5574512,6776388,7095416
Bulgaria,2012,36138,168725,404006,1030890,2025960,5386293,6591829,6968882
Bulgaria,2013,43157,129593,362543,956302,1666233,4837326,6300614,6781532
Bulgaria,2014,28400,119940,285090,793439,1557396,4631247,6096462,6669062
Bulgaria,2015,85781,245462,435239,1012927,1723213,4693148,6127690,6703892
Bulgaria,2016,36955,140168,340164,743967,1369013,4108960,5664456,6411462
Bulgaria,2017,27594,97065,244383,667728,1329974,4127409,5726700,6379310
Bulgaria,2018,7099,61150,162482,560454,1027423,3595510,5232206,6012353
Bulgaria,2019,13803,64430,195923,501241,952699,3315484,5008493,5860812
Bulgaria,2020,6063,17187,96404,314251,673379,2838822,4693248,5612132
Bulgaria,2021,8948,48085,135516,396943,684994,2799778,4490876,5428493
Burkina Faso,1994,5356280,8336608,9371303,9896253,10049015,10134791,10146204,10152308
Burkina Faso,1998,4531691,8951654,10174341,10809795,10983210,11145732,11179590,11188389
Burkina Faso,2003,2068902,7128220,10319373,12216598,12674219,12978124,13016872,13020274
Burkina Faso,2009,1654029,8239606,12518565,14853033,15290268,15569639,15629862,15638063
Burkina Faso,2014,244894,7195776,13487174,16887792,17673298,18079186,18147856,18160604
Burkina Faso,2018,441853,6450510,13045040,18034910,19159766,20289528,20586274,20632632
Burkina Faso,2021,322306,5683460,13657872,19817794,21279766,22294956,22413910,22452238
Burundi,1992,1434967,4310702,5341816,5672674,5728326,5743085,5743085,5743085
Burundi,1998,2352690,4852075,5754404,5978462,6050906,6101319,6105765,6106981
Burundi,2006,1210492,5501974,6929885,7517442,7609496,7656980,7657920,7658190
Burundi,2013,1813203,6723176,8945784,9959188,10187663,10307539,10316563,10320293
Burundi,2020,1918246,7615392,10571960,11878234,12115128,12250714,12265720,12268152
Cameroon,1996,1271813,6837334,10229554,12330803,12941224,13435880,13533225,13554650
Cameroon,2001,360413,3980906,8644185,13006632,14357477,15271584,15401642,15432243
Cameroon,2007,485961,5735308,10668588,15377553,16899642,17999558,18174626,18219318
Cameroon,2014,1075671,5721520,10475708,16670752,19249214,21572750,22065432,22192658
Cameroon,2021,758598,6363852,12926437,21027826,24442858,27096808,27523314,27630896
Canada,1971,383912,494056,658286,1262485,2195916,7189915,12847091,16360851
Canada,1973,279500,393279,449540,786505,1517496,5509546,11188854,15292412
Canada,1975,231351,345394,461409,693813,1156692,4393812,9719401,14117250
Canada,1977,237152,296492,414985,644782,1066882,4033374,8954637,13462806
Canada,1979,241731,302448,362386,544401,968052,3750751,8531009,13120844
Canada,1981,121048,185988,248178,433675,744098,3226338,7880242,12718872
Canada,1982,125519,186646,249696,439541,753448,3516162,8099799,13311540
Canada,1984,127813,192011,256046,511971,958424,3776600,8193448,13507634
Canada,1985,129151,129151,257414,386511,773142,3553106,7880274,13179254
Canada,1986,260530,260530,326071,391477,651916,3257979,7698818,13175860
Canada,1987,132149,132149,195681,330046,594544,3105053,7468184,12958135
Canada,1988,129473,200770,200770,334097,535826,2742126,7099705,12658572
Canada,1989,340782,340782,340782,476875,611194,2659149,6886234,12341166
Canada,1990,267038,345712,345712,484579,692227,2976418,7199454,12529915
Canada,1991,349812,349812,349812,489909,770315,3363974,7990644,13598114
Canada,1992,211902,211902,282864,425452,633516,3262433,7872902,13471972
Canada,1993,357880,357880,357880,501756,713870,3585075,8461992,14270107
Canada,1994,214390,286985,286985,362250,652448,3261820,8118036,13920165
Canada,1995,218832,218832,290220,366187,732354,3513529,8347858,14136726
Canada,1996,73883,73883,143894,292601,591864,4219094,9619823,15544622
Canada,1997,74080,74080,147822,293981,597778,3962412,9569560,15401288
Canada,1998,74713,150672,223403,375905,601325,3767788,8970300,14849490
Canada,1999,75953,149259,149259,379762,682766,3724126,8664105,14287225
Canada,2000,76046,76046,151848,306765,535338,3528325,8284914,13730156
Canada,2001,77360,77360,152485,232395,541664,3178120,7832522,13335744
Canada,2002,75987,75987,156480,234941,547546,3214397,7917168,13248648
Canada,2003,75031,75031,157453,237125,474254,3390936,7910715,13445822
Canada,2004,77794,77794,77794,239236,551455,3273902,7665313,13011395
Canada,2005,78994,78994,161041,321171,563741,2979724,7254492,12574439
Canada,2006,81150,81150,158492,243341,487800,2846434,7162052,12293900
Canada,2007,0,81648,81648,164227,406745,2465940,6412758,11674739
Canada,2008,0,81609,81609,248786,496894,2404972,6316833,11386226
Canada,2009,82159,82159,82159,251981,420079,2438075,6551346,11432640
Canada,2010,0,84615,84615,166769,421777,2377024,6460846,11391609
Canada,2011,0,77657,169688,253385,342380,2144829,6001200,11073871
Canada,2012,0,85578,172753,258204,511404,2773124,6504456,11106216
Canada,2013,85250,174182,174182,344010,595698,2888347,6402515,10959633
Canada,2014,0,85815,175408,353838,440594,2366182,5933528,10807067
Canada,2015,0,87795,177057,354730,535482,2499029,6246902,10889090
Canada,2016,0,89809,180480,352378,451313,1984544,5949708,11012479
Canada,2017,0,90271,181770,272262,456290,2094763,5846063,10687117
Canada,2018,0,92652,184860,276493,461793,1852916,5467010,10285323
Canada,2019,0,93491,187807,268986,469830,1690995,5074800,10137676
Cape Verde,2001,12011,92304,198351,333267,391077,443117,457456,462297
Cape Verde,2007,4495,53531,155440,317133,392242,472125,490370,498447
Cape Verde,2015,1178,25202,106742,281328,386120,500525,533230,543307
Central African Republic,1992,1873623,2493178,2764687,2934873,2984503,3024152,3032677,3033617
Central African Republic,2008,1248604,2764512,3609818,4144228,4286518,4407572,4439721,4449192
Central African Republic,2021,1404004,3583522,4681182,5250122,5377684,5447536,5455293,5455950
Chad,2003,1570603,5314602,7592118,8823485,9043883,9180107,9191356,9193955
Chad,2011,1372299,4510350,7977500,10833059,11680525,12230883,12299489,12307136
Chad,2018,491059,4899745,10256261,14186243,15155717,15766726,15840786,15858497
Chad,2022,557314,5466798,11137047,15742552,16892376,17617230,17699294,17716844
Chile,1987,434455,1955243,4421672,7897598,9545499,11369010,11952567,12243453
Chile,1990,296997,1423418,3753813,7473954,9397989,11648239,12328906,12697891
Chile,1992,162437,923358,2979594,6990707,9202559,11983134,12779686,13117551
Chile,1994,233107,965966,2872502,6692054,9014563,11907433,12924405,13365823
Chile,1996,154789,681734,2368396,6045944,8550746,11940375,13102974,13642190
Chile,1998,174718,687855,2228909,5838082,8428004,12050587,13249120,13850027
Chile,2000,240924,894441,2454012,6353998,9111745,12878102,13999922,14518295
Chile,2003,248207,838610,2420422,6440727,9343221,13336089,14510116,15013086
Chile,2006,66399,334102,1241178,4748504,8019879,13023969,14602726,15292132
Chile,2009,71948,280497,932048,4109360,7503466,13104850,14829540,15578716
Chile,2011,38676,155228,662104,3591663,6872040,12969708,14870083,15704075
Chile,2013,25736,90547,342767,2186670,5136131,11878064,14337523,15518419
Chile,2015,26777,76713,276296,1739590,4357602,11400958,14386073,15667641
Chile,2017,34036,66073,189958,1372886,3701532,10864819,14298744,15823928
Chile,2020,160282,258928,521737,1907791,4348820,11462113,14802590,16351578
Chile,2022,46284,77445,170675,924938,2705870,9808747,14152135,16202921
China,1981,480961600,912172992,989716032,993884992,993884992,993884992,993884992,993884992
China,1984,257174256,841800832,1010773248,1036825024,1036825024,1036825024,1036825024,1036825024
China,1987,187357424,730484224,1011459136,1080244736,1084034944,1084034944,1084034944,1084034944
China,1990,223615168,816902720,1052131136,1123707392,1132521344,1134592128,1134934528,1135043072
China,1993,182535360,772672000,1038691264,1155734016,1172460672,1178439936,1178439936,1178439936
